Word,Count
.,1640
",",1462
the,1005
a,568
and,453
?,445
you,382
he,366
to,359
i,355
of,353
that,266
was,261
it,245
in,242
said,224
s,223
t,144
on,139
his,129
she,123
what,118
for,118
with,112
is,106
we,96
carella,94
no,93
not,92
at,90
this,89
have,89
had,89
or,83
all,82
yes,81
do,79
but,77
there,76
would,70
then,68
her,68
man,67
about,66
like,65
so,63
one,63
know,61
meyer,59
from,59
who,58
well,58
out,58
just,58
me,57
kling,57
him,56
did,56
an,56
can,55
bag,55
as,53
if,52
get,52
been,52
be,52
right,51
hand,50
mrs,48
were,47
mean,47
got,46
genero,46
your,45
they,44
into,44
asked,43
are,43
when,42
up,42
rain,42
them,41
don,40
m,39
how,39
here,39
very,38
now,38
re,36
d,34
sir,33
my,33
two,32
room,32
go,32
could,32
androvich,32
time,31
back,30
think,28
nothing,28
little,28
see,27
ll,27
by,27
blaney,27
why,26
where,26
take,26
didn,26
yeah,25
left,25
going,25
black,25
some,24
off,24
come,24
over,23
oh,23
more,23
max,23
big,23
again,23
too,22
say,22
other,22
only,22
before,22
!,22
thought,21
person,21
our,21
morning,21
livingston,21
good,21
detective,21
day,21
went,20
something,20
lennie,20
because,20
woman,19
through,19
let,19
bus,19
any,19
which,18
way,18
these,18
head,18
face,18
coffee,18
blood,18
wine,17
will,17
than,17
steve,17
put,17
made,17
look,17
husband,17
human,17
boy,17
bartholdi,17
those,16
tell,16
paused,16
missing,16
knew,16
hell,16
grossman,16
first,16
dozen,16
door,16
dead,16
claire,16
came,16
bones,16
body,16
answered,16
us,15
never,15
long,15
karl,15
hawes,15
down,15
ain,15
white,14
three,14
stop,14
red,14
parker,14
once,14
near,14
give,14
find,14
every,14
corner,14
cop,14
city,14
called,14
anything,14
water,13
ve,13
sure,13
six,13
severed,13
pretty,13
much,13
make,13
looked,13
kind,13
job,13
isn,13
himself,13
guy,13
eyes,13
even,13
want,12
under,12
raining,12
pulled,12
place,12
okay,12
meg,12
meat,12
kid,12
hands,12
either,12
damn,12
cronin,12
cleaver,12
blue,12
away,12
another,12
while,11
umbrella,11
told,11
table,11
street,11
still,11
stain,11
roses,11
raincoat,11
guess,11
found,11
already,11
age,11
against,11
work,10
wish,10
weekend,10
wasn,10
son,10
small,10
shop,10
serious,10
report,10
piat,10
people,10
moment,10
mind,10
might,10
men,10
love,10
flowers,10
flight,10
course,10
bags,10
am,10
alone,10
after,10
years,9
wearing,9
turned,9
trying,9
thinking,9
thank,9
th,9
studied,9
sometimes,9
seen,9
sat,9
same,9
safe,9
really,9
quarrel,9
police,9
operation,9
office,9
nice,9
must,9
minute,9
may,9
married,9
male,9
kitchen,9
inches,9
hair,9
fly,9
fact,9
ever,9
doing,9
does,9
covered,9
candy,9
boys,9
both,9
better,9
being,9
bed,9
around,9
always,9
ago,9
wanted,8
victim,8
used,8
twenty,8
took,8
thing,8
stood,8
started,8
squadroom,8
should,8
persons,8
outside,8
old,8
maybe,8
martha,8
lot,8
leave,8
last,8
lady,8
house,8
has,8
half,8
goddamn,8
five,8
cut,8
bought,8
apartment,8
anyway,8
ambrose,8
wrist,7
window,7
use,7
until,7
ticket,7
thanks,7
surface,7
suddenly,7
studying,7
since,7
sign,7
shrugged,7
sex,7
several,7
set,7
seemed,7
saw,7
radius,7
own,7
open,7
named,7
name,7
middle,7
listen,7
jesus,7
its,7
hurry,7
high,7
having,7
gone,7
girl,7
feel,7
father,7
examination,7
detectives,7
desk,7
cold,7
between,7
bad,7
anyone,7
without,6
walked,6
understand,6
ugly,6
turn,6
tried,6
today,6
tall,6
such,6
stand,6
somewhat,6
someone,6
skin,6
sight,6
shaking,6
seven,6
second,6
says,6
read,6
reaction,6
possibility,6
please,6
perhaps,6
patrolman,6
particularly,6
part,6
mr,6
movie,6
mouth,6
lost,6
life,6
leg,6
known,6
kept,6
home,6
glass,6
frick,6
fine,6
files,6
felt,6
feet,6
eye,6
exactly,6
enough,6
else,6
each,6
doesn,6
determine,6
delivered,6
crime,6
clothes,6
case,6
carried,6
car,6
breakfast,6
box,6
bottom,6
bodies,6
bert,6
belonged,6
aware,6
atlanta,6
afraid,6
actually,6
wounds,5
wouldn,5
working,5
worked,5
word,5
whether,5
wear,5
washed,5
wants,5
virtue,5
vase,5
usually,5
uptown,5
try,5
trousers,5
times,5
thirty,5
their,5
talk,5
tailor,5
standing,5
spaces,5
slacks,5
sitting,5
sidewalk,5
ship,5
routine,5
rolls,5
richard,5
reported,5
record,5
reason,5
ready,5
raised,5
race,5
pressing,5
patiently,5
passed,5
opposite,5
neck,5
most,5
months,5
monday,5
minutes,5
microscopic,5
met,5
machine,5
looking,5
living,5
lieutenant,5
learned,5
large,5
lab,5
knowledge,5
keep,5
instead,5
inch,5
hour,5
hit,5
heart,5
heard,5
hear,5
haven,5
group,5
given,5
getting,5
gave,5
further,5
floor,5
flights,5
flesh,5
female,5
feeling,5
february,5
entire,5
early,5
dust,5
disgusting,5
dinner,5
different,5
dame,5
corpse,5
color,5
circle,5
change,5
certainly,5
catch,5
cards,5
