N-gram,Count
", carella said",43
carella said .,41
". well ,",37
", mrs .",37
", and he",28
. . .,28
mrs . androvich,28
i don t,26
", sir .",24
? yes .,23
"? no ,",21
", that s",20
"? yes ,",20
. that s,19
", kling said",19
", she said",18
mrs . livingston,18
. i m,17
", and then",17
", he said",17
. do you,17
"i mean ,",16
". yes ,",16
. it was,14
. it s,14
he said .,14
", you know",14
? i don,14
don t know,14
. he was,13
said . you,13
", meyer said",13
kling said .,13
she said .,13
. i mean,12
of the bag,12
". oh ,",12
". yeah ,",12
"? well ,",12
. androvich ?,12
"and said ,",11
"yes , sir",11
. there was,11
", and she",11
". no ,",11
do you mean,11
", he thought",10
you know .,10
", i m",10
the bag .,10
", is that",10
meyer said .,10
? no .,10
. androvich .,10
out of the,9
"said , and",9
", but he",9
he did not,9
. he had,9
. if you,9
", and the",9
", lennie ?",9
do you think,8
", genero said",8
said . the,8
", and i",8
. she was,8
that s all,8
is it ?,8
", of course",8
a meat cleaver,8
", and that",7
he thought .,7
"a cop ,",7
i wish i,7
. would you,7
. you re,7
", sir ,",7
", it was",7
said . i,7
", do you",7
carella asked .,7
", too .",7
? carella asked,7
. i ll,7
what the hell,7
the room .,7
if you are,7
", yes ,",7
. you know,7
", genero ?",7
. i see,7
? carella said,7
. she paused,7
. i don,7
. mrs .,7
dozen red roses,7
. livingston ?,7
", too ,",6
i m going,6
his head .,6
", let s",6
about it .,6
you re a,6
a long time,6
", max said",6
said . it,6
"all right ,",6
"come on ,",6
said . what,6
it . he,6
do you know,6
"no , no",6
", no ,",6
"she said ,",6
"carella said ,",6
s all .,6
it . i,6
the middle of,6
there is nothing,6
", it s",6
. yes ?,6
the person who,6
. . well,6
? how do,6
you mean ?,6
", would you",6
is that right,6
that right ?,6
is that what,6
there was a,6
i see .,6
he was a,6
the missing persons,6
? he asked,6
", bartholdi said",6
"well , you",6
she paused .,6
"yes , i",6
? is that,6
", lennie ,",6
m going to,5
t have to,5
"he said ,",5
". listen ,",5
what do you,5
? i mean,5
that s what,5
said . he,5
. yeah ?,5
"you know ,",5
. it ain,5
it ain t,5
. so ?,5
shaking his head,5
. don t,5
. i had,5
of the th,5
. the man,5
. in the,5
. he did,5
what kind of,5
. did you,5
no . i,5
he didn t,5
what i mean,5
one of those,5
in the middle,5
", if you",5
you are a,5
are a cop,5
"cop , you",5
", and a",5
and a half,5
", we re",5
the severed hand,5
", blaney said",5
"well , i",5
thank you .,5
. thank you,5
. i can,5
how do you,5
would have been,5
"no , sir",5
sir . i,5
. that is,5
. and then,5
i guess i,5
are you aware,5
meyer asked .,5
", piat said",5
piat said .,5
? meyer asked,5
"flight , which",5
. what s,5
? he s,5
. why ?,5
". androvich ,",5
. and i,5
. and you,5
the kitchen .,5
box of candy,5
", isn t",5
t it ?,5
do you have,5
that what you,5
a dozen red,5
livingston said .,5
it was still,4
the rain .,4
back to the,4
", you re",4
. what do,4
now and then,4
". jesus ,",4
", and we",4
"said , i",4
ain t got,4
day like this,4
genero said .,4
? it s,4
said . yeah,4
"genero said ,",4
he had to,4
so ? so,4
", max .",4
. all right,4
a man .,4
"said , shaking",4
", shaking his",4
", in the",4
the door .,4
in the rain,4
man or woman,4
and the rain,4
on the sidewalk,4
the bag had,4
could have been,4
i had a,4
the bottom of,4
bottom of the,4
like that .,4
"that morning ,",4
"for him ,",4
. in fact,4
"in fact ,",4
the th .,4
"said , you",4
hawes asked .,4
hawes said .,4
. so i,4
i didn t,4
you know what,4
know what i,4
i mean ?,4
he wasn t,4
of it .,4
get it out,4
it out of,4
out of here,4
of the room,4
that s pretty,4
the victim s,4
"wounds , the",4
the hand was,4
. and so,4
. just a,4
belonged to a,4
. i know,4
", i can",4
one of them,4
didn t have,4
blaney said .,4
said . well,4
"oh , yes",4
"yes , of",4
"of course ,",4
kind of a,4
", i would",4
i would say,4
don t think,4
? do you,4
"t know ,",4
". okay ,",4
bag on the,4
genero ? yes,4
. you can,4
then what ?,4
it ? i,4
. i guess,4
i got a,4
. are you,4
you didn t,4
", all right",4
. no .,4
for our operation,4
"well , that",4
s not too,4
. he paused,4
know . .,4
. meyer s,4
", you see",4
that it was,4
", mr .",4
"to say ,",4
"no , not",4
yes . and,4
. i d,4
d like to,4
missing persons bureau,4
he asked .,4
", ambrose said",4
a little more,4
", huh ?",4
valentine s day,4
you got a,4
. sure .,4
. let s,4
", steve ?",4
"kling said ,",4
. he s,4
. she shrugged,4
", please ?",4
into the room,4
isn t it,4
he was very,4
them in a,4
t know .,4
didn t quarrel,4
", i do",4
i do .,4
. is that,4
corner of the,4
of an inch,4
got a permit,4
. livingston said,4
", lennie .",4
". livingston ,",4
", cronin said",4
cronin said .,4
it had been,3
. but it,3
he would be,3
", as if",3
as if he,3
of the rain,3
. it would,3
", the rain",3
", anyway .",3
we don t,3
don t have,3
. the boy,3
think about it,3
all the time,3
every now and,3
? i m,3
thought . i,3
and we ll,3
", i wish",3
", max ,",3
", i ain",3
i ain t,3
t got no,3
got no wine,3
", max ?",3
"mean , what",3
what s that,3
max said .,3
in the street,3
. the only,3
? so nothing,3
so nothing .,3
nothing . i,3
. right to,3
right to the,3
to the marrow,3
. and the,3
. you mean,3
", he s",3
went into the,3
on the table,3
. you want,3
it s very,3
. come on,3
", get out",3
that s a,3
", get it",3
. get it,3
shook his head,3
will you ?,3
. from the,3
the man or,3
the bus stop,3
it was impossible,3
was impossible to,3
. the bus,3
after the bus,3
walked to the,3
the bag and,3
parker s desk,3
of the squadroom,3
you know the,3
the car and,3
", no .",3
. what the,3
", and you",3
got a good,3
had been a,3
i m in,3
in a hurry,3
going to give,3
. what kind,3
she was a,3
it was just,3
up to the,3
asked . i,3
? hawes asked,3
asked . no,3
", but that",3
just what i,3
said . did,3
", hawes said",3
. the guy,3
you going to,3
for a long,3
. then he,3
", he would",3
. you d,3
"oh , jesus",3
", jesus ,",3
? kling asked,3
asked . oh,3
of here .,3
of a human,3
a human being,3
you have seen,3
the sight of,3
of a corpse,3
part of a,3
no matter how,3
. there is,3
"frightening , and",3
", and disgusting",3
. but he,3
to do .,3
at the wrist,3
weight of the,3
to determine the,3
the hand had,3
again . it,3
. the hand,3
a half inches,3
"a woman ,",3
at last .,3
of the hand,3
the man s,3
. he knew,3
and so he,3
the average layman,3
"to do ,",3
of the victim,3
картинка image .,3
image . jpg,3
", so he",3
severed hand .,3
"hand , and",3
"the hand ,",3
on the other,3
i ve got,3
"at all ,",3
"all , carella",3
"hear that ,",3
. a man,3
", thank you",3
you . i,3
can i do,3
"you , carella",3
who did the,3
did the job,3
yes ? yes,3
"yes , and",3
"yes , the",3
said . but,3
would you say,3
"no , i",3
i can t,3
"yeah , i",3
that s why,3
. how about,3
? maybe .,3
for a moment,3
. he went,3
. am i,3
you don t,3
", but it",3
sir . and,3
. and what,3
you aware that,3
", genero .",3
"it , and",3
"mean , i",3
why didn t,3
didn t you,3
", i guess",3
"or something ,",3
get out .,3
"well , it",3
bad for our,3
our operation .,3
. we can,3
or something ?,3
that s not,3
it ? he,3
", you can",3
", at the",3
the kind of,3
", he was",3
when he was,3
"meyer said ,",3
that is to,3
is to say,3
we have our,3
and then we,3
see . and,3
of leg room,3
"leg room ,",3
i m afraid,3
"room , and",3
. what ?,3
. as they,3
"the door ,",3
. when he,3
", he had",3
", either .",3
", detective kling",3
detective kling ?,3
. can i,3
in the city,3
we didn t,3
ambrose said .,3
bartholdi said .,3
is just a,3
