N-gram,Count
", and",167
said .,135
. i,119
. the,100
of the,98
. he,97
in the,83
", he",72
. you,66
. and,60
on the,58
", i",58
to the,57
. .,55
"well ,",52
"said ,",50
? i,50
", carella",50
carella said,50
", the",49
mrs .,48
that s,47
. it,46
. she,46
", you",45
? yes,44
"yes ,",43
do you,42
don t,40
. well,39
the bag,39
"no ,",39
was a,38
. what,38
it was,37
", but",37
he was,37
", mrs",37
and then,36
i m,36
of a,35
", that",34
. but,32
and he,32
. we,32
", sir",32
? no,32
in a,31
. a,31
you know,31
. that,31
at the,31
it s,30
yes .,30
it .,29
from the,29
", she",28
", kling",28
. androvich,28
it ?,27
asked .,27
didn t,26
she said,26
i don,26
into the,25
", genero",25
i mean,25
", a",25
and the,24
. yes,24
sir .,24
there was,23
he had,23
? he,23
with a,22
", it",22
a man,22
out of,22
he said,22
. in,22
the hand,22
. no,21
is that,21
for a,20
. so,20
", meyer",20
kling said,20
the rain,19
you re,19
. yeah,19
he s,19
", lennie",19
had been,18
a little,18
"mean ,",18
"it ,",18
and a,18
you mean,18
. do,18
. there,18
she was,18
if you,18
. livingston,18
for the,17
the man,17
no .,17
", we",17
. oh,17
with the,16
t know,16
going to,16
", max",16
on a,16
know .,16
and i,16
you ?,16
one of,16
? carella,16
"oh ,",16
"yeah ,",16
. they,16
meyer said,16
have to,15
. now,15
ain t,15
would you,15
to be,15
got a,15
. if,15
", or",15
the room,15
"that ,",14
you think,14
"you ,",14
. why,14
", blaney",14
", too",13
isn t,13
let s,13
the door,13
? what,13
you have,13
? the,13
but he,13
the bus,13
bag .,13
did not,13
", no",13
did you,13
? well,13
? you,13
right ?,13
the other,12
to get,12
are you,12
to do,12
all right,12
"right ,",12
i ll,12
. then,12
again .,12
have been,12
and she,12
all .,12
kind of,12
you are,12
just a,12
we re,12
. when,12
you can,12
", is",12
. how,12
? she,12
androvich ?,12
that it,11
and that,11
like a,11
his head,11
that the,11
he d,11
about it,11
a cop,11
i can,11
i was,11
and said,11
? how,11
"know ,",11
can t,11
paused .,11
", in",11
the person,11
the hell,11
what i,11
. did,11
mean ?,11
. meyer,11
he thought,10
back to,10
what you,10
. genero,10
", what",10
what s,10
had to,10
room .,10
"him ,",10
he did,10
wasn t,10
would have,10
"hand ,",10
is it,10
here .,10
hand .,10
", yes",10
of course,10
i see,10
what ?,10
i guess,10
. is,10
", bartholdi",10
? a,10
", steve",10
androvich .,10
", they",9
to his,9
t have,9
"rain ,",9
s not,9
all the,9
man .,9
genero said,9
s a,9
t you,9
or something,9
. all,9
i had,9
answered .,9
"on ,",9
the th,9
in his,9
", which",9
when he,9
"was ,",9
"me ,",9
. was,9
"morning ,",9
a big,9
what the,9
i know,9
he knew,9
you .,9
there is,9
. just,9
thank you,9
i do,9
person who,9
", of",9
a meat,9
meat cleaver,9
trying to,9
"room ,",9
the kitchen,9
red roses,9
lennie ?,9
this is,8
he would,8
. his,8
as if,8
rain .,8
that he,8
", so",8
thought .,8
he could,8
the boy,8
"cop ,",8
"man ,",8
i wish,8
. would,8
? it,8
how about,8
there s,8
", not",8
? so,8
"sir ,",8
near the,8
through the,8
man or,8
was not,8
", who",8
"time ,",8
carella asked,8
and you,8
s all,8
. this,8
did he,8
you got,8
of his,8
. carella,8
", if",8
or a,8
"them ,",8
about the,8
that is,8
of them,8
", would",8
yes ?,8
. or,8
how do,8
that what,8
wanted to,8
meyer meyer,8
s the,8
. kling,8
see .,8
the same,8
. not,8
bartholdi said,8
your husband,8
she paused,8
a dozen,8
the boys,7
raining .,7
"now ,",7
would be,7
more than,7
a half,7
the street,7
", let",7
", all",7
"jesus ,",7
to take,7
of that,7
wish i,7
is a,7
not a,7
. right,7
i got,7
me .,7
. get,7
get out,7
you like,7
when you,7
was the,7
could have,7
been a,7
had a,7
off the,7
", do",7
like that,7
too .,7
i am,7
i d,7
", just",7
know what,7
a woman,7
the middle,7
have you,7
a human,7
the victim,7
take a,7
do .,7
can i,7
one .,7
a very,7
so he,7
have a,7
and what,7
morning .,7
i ve,7
"all ,",7
"here ,",7
that right,7
"okay ,",7
genero ?,7
we can,7
we have,7
"her ,",7
our operation,7
? meyer,7
they were,7
over the,7
"flight ,",7
", detective",7
me ?,7
. sure,7
like it,7
the missing,7
missing persons,7
"androvich ,",7
? is,7
he left,7
. mrs,7
dozen red,7
livingston ?,7
it would,6
but it,6
him .,6
"too ,",6
if he,6
m going,6
thinking of,6
head .,6
to make,6
the city,6
up the,6
the way,6
", go",6
"one ,",6
s face,6
. listen,6
"listen ,",6
re a,6
the time,6
got to,6
to find,6
a long,6
long time,6
under the,6
t it,6
some of,6
we ll,6
down the,6
like this,6
max said,6
up .,6
"city ,",6
"this ,",6
man s,6
time .,6
that was,6
a good,6
bones .,6
against the,6
mr .,6
doesn t,6
when i,6
his hands,6
. come,6
come on,6
", get",6
get it,6
a lot,6
in an,6
"woman ,",6
head and,6
a small,6
", were",6
", was",6
studied the,6
the squadroom,6
day .,6
that morning,6
in fact,6
at me,6
so i,6
? and,6
the guy,6
at his,6
"body ,",6
middle of,6
of it,6
? kling,6
", more",6
is nothing,6
of an,6
the wrist,6
and so,6
the severed,6
to a,6
"do ,",6
them in,6
. grossman,6
severed hand,6
sure .,6
t think,6
. okay,6
wearing a,6
. are,6
", there",6
out .,6
meyer asked,6
piat said,6
. can,6
them .,6
meyer s,6
to say,6
like to,6
he asked,6
of her,6
want to,6
. where,6
shrugged .,6
her .,6
of candy,6
i bought,6
"lennie ,",6
it had,5
up to,5
was still,5
", as",5
into his,5
wouldn t,5
had not,5
", his",5
t so,5
", anyway",5
dead .,5
what do,5
now and,5
s what,5
of this,5
was in,5
from his,5
wine .,5
"answered ,",5
"day ,",5
s that,5
yeah ?,5
in this,5
it ain,5
so ?,5
right to,5
"outside ,",5
the sidewalk,5
", shaking",5
shaking his,5
. don,5
you ll,5
. go,5
the table,5
you want,5
"again ,",5
instead of,5
part of,5
right .,5
ship .,5
. from,5
bus stop,5
after the,5
"bag ,",5
then he,5
that .,5
steve carella,5
and studied,5
as a,5
tried to,5
what did,5
at all,5
what kind,5
was just,5
and all,5
re not,5
put on,5
i thought,5
he didn,5
of those,5
you d,5
"once ,",5
", where",5
s pretty,5
they re,5
are a,5
was an,5
. blaney,5
the job,5
to work,5
hand was,5
try to,5
by the,5
that hand,5
the first,5
blaney said,5
. thank,5
you ve,5
i would,5
where the,5
think i,5
carella .,5
a person,5
very much,5
about a,5
he went,5
a movie,5
this bag,5
guess i,5
you aware,5
"bags ,",5
", piat",5
operation .,5
not exactly,5
not too,5
good .,5
he paused,5
who would,5
between the,5
? we,5
kling .,5
"door ,",5
", ambrose",5
ambrose said,5
to go,5
the files,5
use a,5
. have,5
", did",5
you were,5
why ?,5
know ?,5
a girl,5
each other,5
was wearing,5
haven t,5
the morning,5
the apartment,5
kitchen .,5
box of,5
", isn",5
two dozen,5
was very,5
him ?,5
a vase,5
the stain,5
"livingston ,",5
. cronin,5
livingston said,5
"serious ,",5
a great,4
rain that,4
but there,4
the only,4
human being,4
the entire,4
to come,4
here in,4
the goddamn,4
so that,4
. rain,4
anyway .,4
ago .,4
"out ,",4
himself .,4
do ?,4
", this",4
", man",4
. jesus,4
over to,4
and we,4
the shop,4
man with,4
t got,4
got no,4
? genero,4
day like,4
this ?,4
but i,4
working on,4
that ?,4
this city,4
going on,4
old man,4
sign .,4
nothing .,4
. to,4
max .,4
ll be,4
"eyes ,",4
"go ,",4
t like,4
s very,4
"anything ,",4
you say,4
say ?,4
. my,4
go .,4
"us ,",4
on his,4
the bridge,4
be a,4
will you,4
"asked ,",4
door .,4
now .,4
to see,4
", black",4
"umbrella ,",4
the curb,4
or woman,4
picked up,4
overnight bag,4
a white,4
bag had,4
bag and,4
on that,4
andy parker,4
s desk,4
a high,4
", like",4
the bottom,4
bottom of,4
made a,4
car and,4
"lady ,",4
for him,4
"fact ,",4
th .,4
it to,4
covered with,4
and this,4
we got,4
hawes asked,4
the detectives,4
a hurry,4
hawes said,4
i didn,4
that i,4
s just,4
minute .,4
", then",4
i just,4
tell you,4
this was,4
and when,4
he just,4
stared at,4
? that,4
the window,4
i could,4
have seen,4
he wasn,4
could not,4
d you,4
it out,4
of here,4
to .,4
body .,4
and there,4
there are,4
people who,4
victim s,4
for you,4
used to,4
sight of,4
how long,4
"wounds ,",4
"blaney ,",4
the body,4
determine the,4
weren t,4
t .,4
to determine,4
if the,4
a hand,4
came to,4
belonged to,4
studying the,4
average layman,4
is just,4
"then ,",4
knowledge of,4
the blood,4
what he,4
it from,4
there .,4
s office,4
but you,4
", thanks",4
who did,4
